,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,AVG CPU TEMP
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/23/2021 23:36:10,0,1.5625,0.78125,37,37,37,1197.28027,1197.28027,1.864935,0.3727806,0.002671392,99.77335,25.9990311,2.048275,5.829998,44,23.2810059,37
11/23/2021 23:36:11,0,1.5625,0.78125,38,38,38,1197.2804,1197.2804,1.78672576,0.310438871,0.002702256,99.77336,25.9969482,2.048111,5.830162,44,23.2810059,38
11/23/2021 23:36:12,0,2.34375,1.171875,38,38,38,1197.28015,1197.28015,1.85307288,0.358344167,0.002680652,99.77335,25.992981,2.04779816,5.830475,44,23.2810059,38
11/23/2021 23:36:13,0,1.5625,0.78125,38,38,39,1197.2804,1197.2804,1.77794528,0.304130048,0.002516371,99.77337,25.98713,2.04733658,5.83093643,44,23.2810059,38.33333333
11/23/2021 23:36:14,0,1.5625,0.78125,38,38,38,1197.28015,1197.28015,1.74976408,0.28070426,0.002678476,99.7733459,25.9865417,2.0472908,5.830982,44,23.2810059,38
11/23/2021 23:36:15,0,1.53846145,0.7692337,37,37,38,1197.28027,1197.28027,1.82233286,0.342102677,0.002503079,99.77335,25.9814072,2.04688644,5.83138657,44,23.2810059,37.33333333
11/23/2021 23:36:16,0,1.5625,0.78125,36,36,37,1197.2804,1197.2804,1.75652671,0.287361264,0.002691555,99.77337,25.9699326,2.04598236,5.83229065,44,23.2810059,36.33333333
11/23/2021 23:36:17,0.78125,2.272725,1.52698755,37,37,38,1197.28015,1197.28015,1.85734868,0.364226,0.002606188,99.7733459,25.9613647,2.04530716,5.832966,44,23.2810059,37.33333333
11/23/2021 23:36:18,0,2.30768919,1.15384459,37,37,37,1197.28027,1197.28027,1.8158251,0.3275606,0.002629018,99.77335,25.96064,2.04525,5.833023,44,23.2810059,37
11/23/2021 23:36:19,0,1.5625,0.78125,37,37,38,1197.2804,1197.2804,1.73579776,0.270678967,0.002505022,99.77337,25.959816,2.045185,5.833088,44,23.2810059,37.33333333
11/23/2021 23:36:20,0,1.53846145,0.7692337,37,37,38,1197.28015,1197.28015,1.74171793,0.2764958,0.002627003,99.7733459,25.9552155,2.04482269,5.83345032,44,23.2810059,37.33333333
11/23/2021 23:36:21,0,2.34375,1.171875,37,37,37,1197.28027,1197.28027,1.84495354,0.357704759,0.002675485,99.77336,25.9484863,2.04429245,5.83398056,44,23.2810059,37
11/23/2021 23:36:22,0,1.53846145,0.7692337,36,36,37,1197.28027,1197.28027,1.84637773,0.3593869,0.002656788,99.77336,25.94693,2.04417038,5.83410263,44,23.2810059,36.33333333
11/23/2021 23:36:23,0,1.5625,0.78125,36,36,36,1197.28015,1197.28015,1.86123276,0.37317118,0.002501046,99.77335,25.9416122,2.04375076,5.83452225,44,23.2810059,36
11/23/2021 23:36:24,0,2.34375,1.171875,37,37,37,1197.28027,1197.28027,1.71968365,0.251333922,0.002502201,99.77335,25.9381714,2.04348,5.834793,44,23.2810059,37
11/23/2021 23:36:25,0,1.5625,0.78125,36,36,36,1197.28052,1197.28052,1.81417727,0.333089173,0.002699189,99.77338,25.93628,2.04333115,5.834942,44,23.2810059,36
11/23/2021 23:36:26,0,1.51515007,0.757575035,36,36,36,1197.28027,1197.28027,1.771739,0.301070333,0.002580094,99.77335,25.93415,2.0431633,5.83510971,44,23.2810059,36
11/23/2021 23:36:27,0,1.5625,0.78125,36,36,36,1197.28,1197.28,1.87601864,0.38474077,0.002710944,99.77334,25.927475,2.04263687,5.835636,44,23.2810059,36
11/23/2021 23:36:28,0.757575035,2.30768919,1.53263211,36,36,37,1197.28052,1197.28052,1.81667137,0.3282198,0.002674072,99.77338,25.9233475,2.04231262,5.83596039,44,23.2810059,36.33333333
11/23/2021 23:36:29,0,1.53846145,0.7692337,36,36,37,1197.28027,1197.28027,1.76738656,0.2976456,0.002645274,99.77335,25.9196243,2.042019,5.836254,44,23.2810059,36.33333333
11/23/2021 23:36:30,0.7692337,2.30768919,1.53846741,36,36,36,1197.28027,1197.28027,1.8295486,0.361553133,0.00272288,99.77335,25.9146423,2.041626,5.836647,44,23.2810059,36
11/23/2021 23:36:31,0,2.30768919,1.15384459,36,36,37,1197.2804,1197.2804,1.84930587,0.361254066,0.002534164,99.77336,25.91101,2.04133987,5.836933,44,23.2810059,36.33333333
11/23/2021 23:36:32,0,1.53846145,0.7692337,36,36,37,1197.2804,1197.2804,1.78648663,0.3187278,0.002200807,99.77337,25.906456,2.04098129,5.83729172,44,23.2810059,36.33333333
11/23/2021 23:36:33,0,2.272725,1.13636255,36,36,37,1197.28015,1197.28015,1.81671894,0.329432875,0.002648365,99.7733459,25.9067917,2.041008,5.837265,44,23.2810059,36.33333333
11/23/2021 23:36:34,0,2.31971145,1.1598587,35,35,37,1197.28027,1197.28027,1.83448434,0.3513679,0.00269611,99.77336,25.9044266,2.040821,5.837452,44,23.2810059,35.66666667
11/23/2021 23:36:35,0,1.5625,0.78125,35,35,36,1197.28027,1197.28027,1.84862316,0.365146279,0.002715463,99.77336,25.9035034,2.0407486,5.83752441,44,23.2810059,35.33333333
11/23/2021 23:36:36,2.30768919,2.30768919,2.30768919,36,36,36,1197.28,1197.28,1.978629,0.371252447,0.002657519,99.77334,25.8968735,2.040226,5.838047,44,23.2810059,36
11/23/2021 23:36:37,0,2.30768919,1.15384459,36,36,37,1197.28052,1197.28052,2.18698239,0.402857631,0.002524284,99.77338,25.8958511,2.04014587,5.838127,44,23.2810059,36.33333333
11/23/2021 23:36:38,0,2.272725,1.13636255,36,36,37,1197.28027,1197.28027,2.17520022,0.390031129,0.002582502,99.77335,25.89154,2.03980637,5.83846664,44,23.2810059,36.33333333
11/23/2021 23:36:39,0,1.53846145,0.7692337,36,36,37,1197.28027,1197.28027,2.05623579,0.398350865,0.002646398,99.77336,25.8850021,2.03929138,5.83898163,44,23.2810059,36.33333333
11/23/2021 23:36:41,2.30768919,0,1.15384459,36,36,36,1197.2804,1197.2804,1.84255314,0.3477137,0.002647757,99.77337,25.8793945,2.03884888,5.839424,44,23.2810287,36
11/23/2021 23:36:41,0.78125,2.272725,1.52698755,36,36,37,1197.28015,1197.28015,1.8399601,0.347563565,0.002634507,99.7733459,25.8713989,2.03821945,5.84005356,44,23.2810287,36.33333333
11/23/2021 23:36:42,0.746268034,1.53846145,1.14236474,36,36,36,1197.28015,1197.28015,1.78678358,0.3164132,0.002674084,99.7733459,25.8718872,2.0382576,5.84001541,44,23.2810287,36
11/23/2021 23:36:43,0,1.53846145,0.7692337,36,36,37,1197.2804,1197.2804,1.75771379,0.292782038,0.002674083,99.77337,25.87101,2.038189,5.840084,44,23.2810287,36.33333333
11/23/2021 23:36:44,0,2.30768919,1.15384459,36,36,36,1197.28015,1197.28015,1.82883286,0.339021653,0.002575947,99.7733459,25.86641,2.03782654,5.84044647,44,23.2810287,36
11/23/2021 23:36:46,0.746268034,1.49253607,1.11939907,37,37,37,1197.28052,1197.28052,1.73495638,0.270742685,0.002596384,99.77338,25.8656845,2.03776932,5.84050369,44,23.2810287,37
11/23/2021 23:36:47,0.7692337,1.53846145,1.15385056,36,36,36,1197.2804,1197.2804,1.82431185,0.347148329,0.00270857,99.77337,25.8605042,2.03736115,5.840912,44,23.2810287,36
11/23/2021 23:36:48,0.757575035,1.53846145,1.14802122,36,36,37,1197.28,1197.28,1.82566655,0.34312135,0.002645523,99.77334,25.8592987,2.03726578,5.841007,44,23.2810287,36.33333333
11/23/2021 23:36:49,0.757575035,1.51515007,1.13636255,36,36,37,1197.2804,1197.2804,1.78053439,0.309912771,0.00239484,99.77336,25.8551712,2.03694153,5.84133148,44,23.2810287,36.33333333
11/23/2021 23:36:50,0.78125,1.5625,1.171875,36,36,37,1197.28027,1197.28027,1.74561954,0.2794932,0.002685381,99.77335,25.854454,2.03688431,5.8413887,44,23.2810287,36.33333333
11/23/2021 23:36:51,0,3.06526423,1.53263211,36,36,36,1197.28015,1197.28015,1.79303789,0.321011,0.002713623,99.7733459,25.85228,2.03671265,5.84156036,44,23.2810287,36
11/23/2021 23:36:52,0,5.46875,2.734375,35,42,42,2993.20166,2993.20166,2.458075,0.881222367,0.002722623,99.77339,25.8506241,2.036583,5.84169,44,23.2810287,39.66666667
11/23/2021 23:36:53,14.3939381,2.272725,8.333331,36,36,38,1197.28,1197.28,4.45557451,2.75015759,0.002415877,99.77334,25.58538,2.015686,5.862587,44,23.2810287,36.66666667
11/23/2021 23:36:54,0.757575035,1.53846145,1.14802122,35,35,37,1197.28015,1197.28015,1.779917,0.308105826,0.002684528,99.7733459,25.67147,2.02246857,5.85580444,44,23.2810287,35.66666667
11/23/2021 23:36:55,0,0.7692337,0.384616852,36,36,37,1197.28027,1197.28027,1.75746489,0.2957155,0.002675471,99.77336,25.6709366,2.02242661,5.85584641,44,23.2810287,36.33333333
11/23/2021 23:36:56,0.7246375,1.49253607,1.10858679,36,36,36,1197.28027,1197.28027,1.74361086,0.2779018,0.002421581,99.77336,25.6683273,2.02222061,5.8560524,44,23.2810287,36
11/23/2021 23:36:57,0.757575035,1.51515007,1.13636255,37,37,37,1197.2804,1197.2804,1.86468017,0.376257837,0.002666382,99.77337,25.6650314,2.02196121,5.856312,44,23.2810287,37
11/23/2021 23:36:58,0.757575035,1.51515007,1.13636255,36,36,37,1197.28027,1197.28027,1.77319062,0.302354217,0.002635218,99.77336,25.6650772,2.021965,5.856308,44,23.2810287,36.33333333
11/23/2021 23:36:59,0.757575035,1.51515007,1.13636255,36,36,37,1197.2804,1197.2804,1.75209618,0.286683649,0.002601272,99.77336,25.6602859,2.02158737,5.85668564,44,23.2810287,36.33333333
11/23/2021 23:37:00,2.272725,2.272725,2.272725,36,36,36,1197.28015,1197.28015,1.91981769,0.421708,0.002634373,99.7733459,25.6563644,2.02127838,5.85699463,44,23.2810287,36
11/23/2021 23:37:01,0.78125,2.34375,1.5625,35,35,36,1197.28015,1197.28015,1.82436955,0.342181355,0.002501304,99.77335,25.6537018,2.02106857,5.85720444,44,23.2810287,35.33333333
11/23/2021 23:37:02,0.757575035,2.272725,1.51515007,36,36,37,1197.2804,1197.2804,1.95459366,0.462251216,0.002609327,99.77337,25.6504059,2.02080917,5.857464,44,23.2810287,36.33333333
11/23/2021 23:37:03,1.49253607,1.49253607,1.49253607,37,37,37,1197.28015,1197.28015,1.88918781,0.397011131,0.002637214,99.7733459,25.64009,2.01999664,5.85827637,44,23.2810287,37
11/23/2021 23:37:04,2.30768919,3.8461566,3.076923,36,36,37,1197.2804,1197.2804,2.053206,0.549711347,0.002664868,99.77337,25.5915833,2.01617432,5.86209869,44,23.2810287,36.33333333
