,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/19/2021 06:39:41,0,2.34375,1.171875,39,39,39,1197.28394,1197.28394,1.70247042,0.227515668,0.00130156,99.77367,32.2321,2.53933334,5.33893967,36,10.60202,39
11/19/2021 06:44:41,0,1.5625,0.78125,40,40,40,1197.28418,1197.28418,1.7814883,0.290419757,0.001601496,99.77368,32.22358,2.538662,5.339611,36,10.6020355,40
11/19/2021 06:49:41,0,1.5625,0.78125,40,40,40,1197.284,1197.284,1.7162472,0.243089527,0.001494059,99.773674,32.1748276,2.53482056,5.34345245,36,10.602066,40
11/19/2021 06:54:41,0,1.5625,0.78125,40,40,40,1197.28357,1197.28357,1.69630945,0.225807667,0.001307532,99.77363,32.19909,2.53673172,5.34154129,36,10.6020966,40
11/19/2021 06:59:42,0,1.51515007,0.757575035,40,40,40,1197.28418,1197.28418,1.69459486,0.224351734,0.001402292,99.77368,32.2288132,2.539074,5.339199,36,10.6021576,40
11/19/2021 07:04:41,0,2.34375,1.171875,40,40,40,1197.28418,1197.28418,1.804144,0.302690685,0.001511469,99.77368,32.2134628,2.53786469,5.34040833,36,10.6021423,40
11/19/2021 07:09:41,0,2.34375,1.171875,39,39,40,1197.28381,1197.28381,1.67997348,0.204580575,0.001494625,99.77366,32.3377075,2.5476532,5.33062,36,10.6022339,39.33333333
11/19/2021 07:14:41,0,3.13739777,1.56869888,40,40,40,1197.2843,1197.2843,1.81119967,0.3115397,0.001478008,99.77369,32.28784,2.543724,5.334549,36,10.6023026,40
11/19/2021 07:19:41,0,1.5625,0.78125,35,35,36,1197.284,1197.284,1.76738,0.290519834,0.001484743,99.773674,32.28203,2.5432663,5.33500671,35,10.6023407,35.33333333
11/19/2021 07:24:41,0,1.5625,0.78125,39,39,39,1197.2843,1197.2843,1.7961638,0.313899428,0.001612576,99.77369,32.24034,2.53998184,5.338291,35,10.6023636,39
11/19/2021 07:29:41,0,1.5625,0.78125,38,38,39,1197.28394,1197.28394,1.728884,0.256136119,0.00132801,99.77367,32.26818,2.54217529,5.33609772,35,10.6023865,38.33333333
11/19/2021 07:34:41,0,2.34375,1.171875,38,38,39,1197.28394,1197.28394,1.71324587,0.237701565,0.001470194,99.77367,32.2063,2.5373,5.340973,36,10.6024475,38.33333333
11/19/2021 07:39:41,0,2.34375,1.171875,40,40,41,1197.284,1197.284,1.70981145,0.2325127,0.001489979,99.773674,32.1932755,2.536274,5.341999,35,10.60247,40.33333333
11/19/2021 07:44:41,0,1.5625,0.78125,40,40,40,1197.28418,1197.28418,1.72992539,0.253856957,0.00143759,99.77368,32.309433,2.54542542,5.3328476,36,10.6025162,40
11/19/2021 07:49:41,0,2.34375,1.171875,40,40,41,1197.28455,1197.28455,1.66199565,0.191320032,0.001479006,99.77371,32.4229279,2.554367,5.323906,36,10.6025238,40.33333333
11/19/2021 07:54:41,0,1.5625,0.78125,40,40,41,1197.28418,1197.28418,1.68876612,0.217435554,0.001481931,99.77368,32.20649,2.53731537,5.34095764,36,10.6025391,40.33333333
11/19/2021 07:59:41,0,2.34375,1.171875,40,40,41,1197.284,1197.284,1.802305,0.30356428,0.001464186,99.773674,32.13057,2.531334,5.346939,36,10.6026764,40.33333333
11/19/2021 08:04:41,0,2.34375,1.171875,40,40,40,1197.28369,1197.28369,1.70168173,0.2229808,0.001453147,99.77364,32.14258,2.53228,5.345993,36,10.60186,40
11/19/2021 08:09:41,0,1.5625,0.78125,40,40,41,1197.28418,1197.28418,1.69782448,0.2246959,0.001494617,99.773674,32.18441,2.53557587,5.342697,36,10.6019287,40.33333333
11/19/2021 08:14:41,0,1.53846145,0.7692337,40,40,41,1197.284,1197.284,1.72270429,0.2459682,0.00159972,99.773674,32.2351074,2.53956985,5.338703,36,10.6019669,40.33333333
11/19/2021 08:19:41,0,2.30768919,1.15384459,37,37,38,1197.2843,1197.2843,1.735873,0.254635125,0.001560355,99.7737,32.2551041,2.54114532,5.33712769,36,10.6019363,37.33333333
11/19/2021 08:24:42,0,2.34375,1.171875,39,39,40,1197.284,1197.284,1.76495576,0.273892164,0.001448197,99.77367,32.4118423,2.5534935,5.32477951,35,10.602005,39.33333333
11/19/2021 08:29:42,0,2.34375,1.171875,39,39,39,1197.28418,1197.28418,1.76939,0.2788522,0.001607392,99.77368,32.1986465,2.53669739,5.34157562,35,10.6020355,39
11/19/2021 08:34:42,0,2.34375,1.171875,40,40,41,1197.284,1197.284,1.81280255,0.315139562,0.001325204,99.773674,32.19642,2.536522,5.341751,36,10.6020584,40.33333333
11/19/2021 08:39:42,0,1.5625,0.78125,40,40,40,1197.28418,1197.28418,1.77809668,0.289138466,0.001652307,99.773674,32.17579,2.53489685,5.343376,36,10.6020966,40
11/19/2021 08:44:42,0,1.5625,0.78125,40,40,41,1197.2843,1197.2843,1.80570209,0.310947,0.001331187,99.77369,32.27365,2.54260635,5.33566666,36,10.6021347,40.33333333
11/19/2021 08:49:42,0,1.5625,0.78125,40,40,41,1197.284,1197.284,1.70668674,0.234726727,0.001461178,99.773674,32.2942276,2.5442276,5.33404541,36,10.6021576,40.33333333
11/19/2021 08:54:42,0,2.34375,1.171875,40,40,41,1197.284,1197.284,1.68543828,0.210691124,0.001495978,99.773674,33.03298,2.60242844,5.27584457,36,10.6034012,40.33333333
11/19/2021 08:59:42,0,2.34375,1.171875,39,39,39,1197.2843,1197.2843,1.68048072,0.212176368,0.001418475,99.77369,32.60296,2.56855,5.309723,37,10.6026535,39
11/19/2021 09:04:42,0,2.34375,1.171875,39,39,39,1197.284,1197.284,1.822413,0.3219405,0.001509883,99.773674,32.53711,2.56336212,5.314911,36,10.580574,39
11/19/2021 09:09:42,0,2.34375,1.171875,39,39,39,1197.28381,1197.28381,1.77537918,0.283507943,0.001460193,99.77365,32.47251,2.55827332,5.31999969,36,10.5811462,39
11/19/2021 09:14:43,0,2.34375,1.171875,39,39,40,1197.284,1197.284,1.77134693,0.2792522,0.001646786,99.773674,32.35093,2.54869461,5.3295784,37,10.5807266,39.33333333
11/19/2021 09:19:43,0,1.5625,0.78125,39,39,41,1197.28394,1197.28394,1.81796646,0.322828829,0.001626686,99.77367,32.37626,2.5506897,5.32758331,36,10.5807114,39.66666667
11/19/2021 09:24:43,0,1.53846145,0.7692337,40,40,41,1197.28418,1197.28418,1.689649,0.21904783,0.001416517,99.77368,32.4972076,2.56021881,5.318054,36,10.5614243,40.33333333
11/19/2021 09:29:43,0.78125,1.5625,1.171875,40,40,40,1197.28381,1197.28381,1.79801953,0.305669636,0.001344724,99.77365,32.34304,2.54807281,5.3302,36,10.5614319,40
11/19/2021 09:34:43,0,1.5625,0.78125,39,39,40,1197.284,1197.284,1.75080752,0.2779432,0.001641185,99.77367,32.29946,2.54463959,5.33363342,36,10.5615082,39.33333333
11/19/2021 09:39:43,0,1.5625,0.78125,39,39,40,1197.284,1197.284,1.713302,0.241741389,0.00145655,99.77367,32.2925339,2.544094,5.334179,36,10.5615082,39.33333333
11/19/2021 09:44:44,0,2.34375,1.171875,39,39,40,1197.2843,1197.2843,1.68598855,0.2092135,0.001437578,99.77369,32.3503036,2.548645,5.329628,37,10.5615463,39.33333333
11/19/2021 09:49:44,0,2.34375,1.171875,40,40,40,1197.28418,1197.28418,1.7793622,0.285431921,0.001652663,99.77368,32.31984,2.54624557,5.33202744,37,10.5607834,40
11/19/2021 09:54:44,0,1.5625,0.78125,40,40,40,1197.28381,1197.28381,1.72265518,0.246948287,0.001576038,99.77365,32.4075775,2.55315781,5.325115,37,10.56089,40
11/19/2021 09:59:44,0,2.34375,1.171875,40,40,41,1197.284,1197.284,1.764907,0.2683108,0.001506595,99.773674,32.4345,2.55527878,5.322994,37,10.5609589,40.33333333
11/19/2021 10:04:44,0,1.53846145,0.7692337,40,40,41,1197.28394,1197.28394,1.80305028,0.310383976,0.001431243,99.77366,32.27186,2.54246521,5.335808,37,10.560936,40.33333333
11/19/2021 10:09:44,0,2.30768919,1.15384459,40,40,40,1197.28418,1197.28418,1.81275845,0.310924441,0.001420989,99.773674,32.3170853,2.54602814,5.332245,37,10.5610352,40
11/19/2021 10:14:44,0,1.5625,0.78125,40,40,40,1197.2843,1197.2843,1.68480062,0.214083791,0.001306872,99.77369,32.3366928,2.547573,5.3307,37,10.5610733,40
11/19/2021 10:19:44,0,1.5625,0.78125,40,40,41,1197.28394,1197.28394,1.72250426,0.246994808,0.001432031,99.77367,32.3340836,2.547367,5.330906,37,10.5610962,40.33333333
11/19/2021 10:24:44,0,1.5625,0.78125,36,36,37,1197.284,1197.284,1.77376628,0.291188955,0.001326289,99.77367,32.444046,2.55603027,5.32224274,36,10.56115,36.33333333
11/19/2021 10:29:44,0,1.5625,0.78125,39,39,40,1197.28394,1197.28394,1.72357011,0.251965553,0.001434223,99.77367,32.47905,2.5587883,5.31948471,35,10.56115,39.33333333
11/19/2021 10:34:44,0,2.34375,1.171875,39,39,39,1197.28418,1197.28418,1.69501019,0.222180411,0.001433619,99.77368,32.262558,2.54173279,5.33654,35,10.561203,39
11/19/2021 10:39:44,0,0.78125,0.390625,39,39,40,1197.28381,1197.28381,1.72034872,0.252870083,0.001325218,99.77365,32.32464,2.54662323,5.33165,35,10.561264,39.33333333
11/19/2021 10:44:44,0,1.5625,0.78125,40,40,40,1197.28394,1197.28394,1.72369194,0.253341466,0.001424714,99.77366,32.30803,2.54531479,5.332958,35,10.56134,40
11/19/2021 10:49:44,0,1.53846145,0.7692337,39,39,39,1197.284,1197.284,1.81792641,0.328113854,0.00148963,99.77367,32.378334,2.55085373,5.32741928,35,10.5613556,39
